Reviews,Sentiment
yeh aezaaz ab tak attaullah esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,1
inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai,1
mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se guinness book of world record mein bhi darj tha,1
torkham se karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,1
president ayyab khan mohtarma fatima jinnah baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain lekin attaullah esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai,1
she played a fantastic role in the drama serial aangan terha with shakeel siddiqui and saleem nasir late,1
bushra ansari received many more different prizes and awards in her life,1
she received an award of pride of performance and women life achievement award from benazir bhutto,1
she won the ptv award and lu style award also,1
bushra ansari performed interesting role in the film to main jawan hon from geo tv,1
yeh beyk waqt actress singer host comedian and drama nigaar ke taur par pehchani jati hain,1
inka har andaaz munfarid aur har roop judagana hai,1
sanjeeda acting comedy parody singing hosting aur ab drama nigari,1
inho ne har field mein apna loha manwaya hai,1
jis se in ki do betiyan hain,1
intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,1
bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,1
career bushra ansari sirf saal ki umer mein he ptv ke children music show kalbon ki mala ki regular performer ban gai thin,1
to farooq qiaser ne inhe apne show kalliyan ke liye muntakhib kiya,1
is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,1
bunyadi taur par yeh bahon ka show tha lekin ise har umar ke nazreen barhe shauq se dekha karte the,1
bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey,1
lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili,1
jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,1
yeh character itna popular hua ke jab kabhi bushra ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,1
bushra ansari ka aik aur aeham show aangan terha hai jise anwar maqsood ne likha aur us mein inho ne shakeel siddiqui aur saleem nasir marhoom ke hamrah yadgar performance di,1
comedy shows ki bat ho to sab se pehle ptv ki tareekh ke maqbool tareen show fifty fifty ka naam zehan mein aata hai,1
is show ko maqboliyat ki bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal tha to bushra ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,1
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,1
bushra ansari ne har umer ke role adaa kiye hain jin mein young udherh aur old age sab he shamil hain,1
personality bushra ansari ko sirf acting mein he malka hasil nahi bal key eh aik shandar shakhsiyat ki bhi malik hain,1
yeh guzishta saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,1
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,1
dilchasp harkaat dilkash personality aur khobsurat chehre ki malik bushra ansari har umar ke nazreen mein popular hain,1
chand maah qabal inho ne geo tv ke show dolly ki aaegi baraat mein saima chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,1
yaar yeh be fitt ha,1
ap to hero ho autograph do na,1
autograph milay ga milay ga,1
hahahaha ye acha hai p,1
apka zehr mjh pe b nae ar kry ga i hv antizehr of ur zehr,1
haahah han zroor mjhe acha lgta jb yeh ese post krte,1
hahahaa qasmay dil ki awaz h meri ye page,1
aala d d,1
app k dil ki bhi,1
buht achi bat kahi he,1
uff yeh apki paakbaaz soch,1
cara jvd bilkul aisa hi kuch main apko b kehna chahti hn d,1
wah saen wah,1
baari ap to famous ho gai hain,1
ye time ni nikal skta u r too demanding girl,1
khushi se hori hy itne likes dekh k,1
ufff dono kis trha parri hain d d chalo na krwao p,1
akhir student kis k hnnnnn,1
ji bilkul paisaaa wasooool comments,1
aap tau millionaire ban jaen gee,1
pskistani jawano lagatay raho imran khan k doz aik din number one per aa jao gay tabdeeli,1
tum to hurr jaghaa famous ho,1
caption khass ap ky liye,1
saas bahu ka rishta nawaz sharif r mamnoon hussain ko bhi peeche chore de,1
apnay kharchay khudd uthaa saknay wali independent aurat ko jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay k g mein tou boht azeem aadmi hun k o biwi tumhara kharcha uthaa rha hun izzat k sath zindagi guzaar rhi ho ussay kehtay hain kaamyaab aurat,1
meri nazr me kamyab orath wo he jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho,1
talaash jaari rakhein aap aik din kamyaab aurat banein gi,1
inshallah hum dono kaamyaab rhen apne naik iraadon mein tou shiad dhond liya ya abhi bhi talaash jaari,1
pta ni kahan hoty hain aese kamyab mard,1
hehehehehe unmarried hona chahiye bs,1
oooppss to phle bolti na dash mjhe lga meri pysri dost mere liye soch rhi hai chal tu rakh lena,1
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun,1
mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme,1
meri jesi kamiyabiyan na karna tum log go for a mzeed rich bitch,1
mil jae ga dnt worry,1
dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai,1
mn kia hoga yr d,1
abhi party shoro hoi he,1
jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,1
kal ki debate k baad kamyab aurat ka award aap ko jata hai,1
hahahaha shukria shukria,1
yani hum dono kamyab hain,1
kyn k tu khud ek kamyab aurat hai lol apni mehnat se,1
mere pas kamyaab maa hai,1
yeh tou hai mard apni biwi ki kismat say hi kamaata hai,1
hum hun gay kamyab aik din,1
mene dhoundh lia akhir i m lucky,1
hum honga kamyab aiek din,1
allah tallah hama b aisa hi banda da,1
hum e kamyab hain,1
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai,1
hum kaamiyab hein,1
jab dono khameeyab haan tou bari kushe ki bat ha jasy men khmeeyab mard,1
allah khair kay ga,1
alhamdulillah me kamyab aurat,1
bilkul sahi kaha,1
bhai app kamyab hain,1
although ham nay apny kharchay kam kr liay han hahahahahahah,1
mashaallah allah pak sb k leay acha keray ameen,1
ameen han sana no etravagence,1
bt dil ko achi lgi,1
point pe hy puray,1
ye hoti hai kamyabi,1
koi ni perfectly imperfct tou mil jye ga,1
mil jaye ga apna dhondh ln phir tmhry leay b,1
haha acha chlo koshish krna dono bhai hon aur bara vala mra,1
haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g,1
har pal har dum azam hmara sb sy perfct jo vo shakhs hmara,1
lkn phr b roub tou bari ka hi hota,1
yr wesy mil k sb ko set kr dyn gyn,1
ptq ni ab set krengy ya khud set hongy,1
bs sai wa swery fir uni da hostel done ay,1
haha idea bura nai tha wesy chalo nt sae,1
actly cup apna spoon apna sakoon apna,1
aisaaa hi hai,1
tere lye bday gft mil gya,1
koi issue nai bhale mera cup use karen beta meri bottle b har koi use karta hai,1
pyar bharta h ase,1
kiaa pata behna shareef ho,1
shareef hi hai,1
tm dost ho yar keh skti ho,1
me idhr b aisi hun apko islamabad ka shak pra rehta,1
alhumdulilah ghalazat to nhi hai,1
hahahhaahaha me to kahin sa b maesna ni lgta pta ni kaisay lgta,1
hahah hum bi apko sharif hi smjta han jnb,1
haha haha haye mei war jaon,1
tm mere kch kehne se pehle he smjh jatay ho sb,1
woh to mashaallah se meri qabliat hai,1
aur masoomiyat bhi,1
ye apke liye likha gaya hai area per square eench p,1
bhai main ek shareef insan hon,1
yd h aik mohtrma hua krti ti shareeef tareeen bibi,1
haha mtlb main shareef nazar aati hun,1
wyse main shareef hun b,1
no galazaat,1
wo to shukar hy aesi technology ai nh abhi,1
shreef bcha,1
hn hn bohot shreef,1
bolti rahu but ma messani ni,1
bht saaaf or shareeef hun koi ghalazat nai,1
wah wah kia soch pyi hy shahneez,1
dair aye pr drust aye,1
hi rabi tu kitni famous hu gai,1
meray shareef dost,1
hell true waday tusi sharif hunh,1
han koi shak ni,1
pyari baat,1
k liay kuch khoobsurat batain,1
haha dafa karo aj kal ghlazat sy door he rehta hun,1
ap b shreef hain isi leye mn apko shareef lgi,1
sahi kaha,1
shabash khabeesni boli aik dum,1
aur tm safai se kr jati ho,1
saif tumhry kapry nusrat api pehan sakti hain nhi na tu phir,1
moqay py choka,1
sb hi mazay k hain,1
aja pilati,1
janeman sari chizaaay kehlaooo gi treat pr,1
dabba khali is liye ho ga kyun k tum kha chuki ho gi na,1
sharab pin gy wd sheesha sutty lgain gy jani sutty,1
ye ly or fkr na kr hm hain,1
peene wala bann aja tujhy sahi se coca cola pilaoga,1
buri bat achhy bchchy galiyan nhi dety,1
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea,1
ap mahaan ho ap india chaly jao,1
anum tum kini pyari ho,1
bas bas bhan itna pyar na do samhala nae jay ga,1
aray is se b ziada don gi ane to do,1
achha krti ho,1
sae kha,1
allah ka shuakr hy ye tw hum per,1
changi gal hy,1
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien ajeeb bat h mem ko btaen gy hum kr skti hn judge bcoz we r girls,1
tab main tumain btao ge na aur bhe maza ae ga,1
ya ya they have all rights to do that with out any regret,1
hahhahaha kesy hm apny points ko defend krty hy use hm bba krny k bad bhi lawyer bn skty hy,1
wo to hm bne bnaye hain,1
hehehe bs kbhi gharoor nhi keya,1
ap tu bhot masoom hain,1
do nt care kro hamen or saro,1
our aja khedeye is zada cute,1
uper waly portion will always welcome them,1
a jaoo yahe kam best haii ab,1
or check kr hamari predictions almost such b niklti then d,1
or baray achay say yeh kaam hum anjaam detay hain,1
bs dehko urdu agye parhna,1
hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one,1
tmara pasandeedaaa kam,1
fav kaam hai hummara yaar,1
hmri jugjmnt kaml ki ha nw,1
hahahaha bht hi enjoy karty thy hm gari me fiza k sath b,1
o haan fiza hahha usy kdr bhool skty hahahha,1
hahahahahahahahaha chalo chalo naiki aur pooch pooch,1
tu jahan mein wahan meri aziz,1
men samjha ap ne likha h ao logon ko haj kratay hen lol,1
behtreen hogaya,1
jao ja k hajj kro,1
ajao yah hmara fvrt kam ha,1
hum to master hain is kaam mein,1
ajao ajj main mood main houn,1
haa sahi gaalh aaah,1
ao un k gunah kum krty hain,1
aur unhy pak krty hain,1
tbi wo white lgty hain,1
hmari tu prediction b sahe hoti hai,1
fiqr na faqaa aish kr kaka,1
jaani grand party hogi i am overeicted for your day tu lagdi lahore ki cause tera mohn chetaa hath kalay,1
hahahah hawn kh dn gii tm b mera taraf sy uncle aunty ko shukriya kh do,1
hahahahah idea ahw h api,1
jizroor mei apne aunty ka dilse shukriya ada krti huu,1
anty ko thanksss bol anty i love you thanku so much,1
mera to salam bol pair chhuuuh anti ne mjhe jo btya tha hahahahahahahahaha,1
yes of course i thankful to your parents namooni,1
aunty ka bhot bhot shukriya krdena meri trf se,1
phupo ko thanks bolin meri trf sy bht bht,1
uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa,1
aunty uncle ko yaad se thnku bolin meri taraf se,1
aunty k lie meri taraf se aik chummi idhr aik chummi idhr,1
woi naa khushaal gharanaaa hamra,1
bht shukria rna m apni dil diyan gallan kisko sunato,1
taraf sy uncle aunty ko thanks bolna,1
uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna,1
hahahah ok ok aur meri taraf say be uncle aunty ko shukriya keh dena,1
apny apny ami abu ko mri trf sy shukria bl dy,1
hahahaha meri trf se b uncle aunty ka dhanaywaad,1
kancha item dia h inshort,1
meri zindagi k tum anmol namonay,1
dekha hamari importance,1
dekh lo beta hum namono k bagair tumahara guzara bhi nahi,1
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney,1
thank u uncle anty warna mai incmplte rh jati,1
shukr hy ye namoona peuda kya thanks to uncle aunty,1
by itkhtyr qahqa laga h myra tm b bst sy opr ho,1
hahahahahahahahahahhaha haso haso wanjo kri krto,1
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene ab tmhari b aari birthday unka b krungi,1
apni mama ko zarur thanks keh dena from my side loveeee bohat cute ho tm,1
aunty ko bhttt bhttt shukriya kehna,1
hahahahaha bas bas is khushi mai kal dilpasnd ki meethai le aana,1
humy k parents ka shukriya krna chahiye,1
uncle aunty ko meri trf se topon ki salamiii,1
aunty ko mri trf se thanku bol dena with kissy,1
its a great pleasure,1
mn khudhh aungi specially,1
dill ki gehraion se dhanywaar,1
thanks boldena meri taraf se,1
thank u bol apne parents ko meri taraf se,1
hahah wai i owe a special thankyou party to uncle n aunty then,1
d ke la ma ta tag koli btw a big thankooo,1
beshak kissi or k bas ka kaam nh ya,1
sana butt should i tag your mama,1
tum na paida hti to kya hta mra,1
mama ko zaroor thanks kahin,1
k momy daddy apka thankyu,1
thank u mommy daddy tu tau nawafil parh apne ami abu k liye iykwim,1
yeah c they deserv akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay,1
meri taraf se bohat shukriya p,1
aunty specaily ap ka bht shukriya,1
antiii ne bht naik kaam kiya,1
i grateful to ur parents,1
thank you so much aunti,1
main tou fakhar kar rahi hun,1
alhamdulillah,1
mai shukar guzar hn ami abu ki,1
special mili hon bai mein touuu,1
thankyou bolna ami baba ko,1
ama ko than kehna apni,1
still u r my buddy,1
aunty fari ko shukria kehna,1
tell aunty bauhat shukria,1
haha i love u so much meri jan,1
thanks to parents,1
thankew sooo mch anty,1
ma zaror karu g,1
thk ha g zror krna,1
phupho thanku,1
thank u jaan g,1
uncle aunty ka shukriya ada karna d p,1
uncle aunty shukriya karna,1
lol same to your parents as well,1
bht hi na shukari ho waisay,1
hahahhaa shokhi,1
shukriya shehzadi auntie,1
meri maa ko khushi honi,1
anyaa ye tmne kha tha mjhe,1
lol,1
aunty ko shukria kehna d,1
okay,1
yaar apne mamaki id btaaa,1
chor tujhe unki nazar mn girana nhi chahti,1
d d bs dil se dil ko raah hoti hai d,1
hahahahaha wah,1
uncle ko tag kron,1
tum kro or agla ghanta bad face to face thanks krna aya ga,1
robina aunty ka shukria adda kr dun unhe add kr ke,1
heer naqvi,1
hassan husnain,1
reply kia na,1
mjhay nahi tag kia,1
ye aunty ko dikha do please d,1
uncle aunty ka num de,1
haniya khan,1
,1
aunty i love you,1
zaib usman,1
hadia kh,1
atiya nisar,1
tmhari ami ko b,1
haha razzaque bhai ko b,1
me b cemnt agency walo ka bra shukrguzar ho hahahah,1
aunty bht bht shukriya,1
hahahhahah,1
heheheh,1
tumhari ama ko na,1
tag them please,1
hahahaha main is main tumhain tag karnay wali thi,1
jo chpairh wo maarain agay se uska kya,1
anty uncle ko kehna zra,1
you too p,1
hate u,1
seriously ajoobaa,1
thank you much one of a kind hun afterall d d,1
lol namoona nai anmol,1
apni amma ko prha dena pl,1
lkn mea q,1
pass on the message,1
ni ye meri traf sy anti ko dikhao,1
tmra knsa muun ni ha,1
inbo kr dn gi,1
say my thanks to uncle and aunty,1
love you too my honey,1
hahahah,1
naughty girl,1
hahhahahahha me bhi bolti hn rk,1
hahhahahha thanks fakhira parveen aqal deny k liye,1
heheee,1
aunti add hi ni warna me unki shaan me qaseeday likhta,1
hahahaha shukria,1
aunty ko shukarya krdena,1
hahahaha,1
hahahha,1
bus is main se ice cream hata do,1
miss those midnight snacks,1
eactly,1
i have nt eaten any pizza and burger from last two months and,1
ek hi baat hai mai kron ya ap,1
soch dekho hamari kitni milti hai,1
hahahaha,1
kulsoom qureshi,1
motuuu mjhe bhi bhej mai bhi jag luga,1
my version of dieting,1
ye tmhary wali diet,1
buahhahaa yeahhh,1
we are nt haddi shah we smart,1
that what i do,1
sta kho sa khwata nakige,1
ri da,1
mc donaldzzzz,1
tu gym khaaaa,1
haha,1
many kb pochaaa,1
uff esi diet,1
yumna too bhi shamil hey,1
pemra complain ki hum kuch friends ne tension na lein practicaly khud kuch krne se hi ho ga,1
bilkul sahi kaha,1
g bilqul aisy he hai i agree with u,1
beshak,1
bilkuk sahi kaha qureshi ka kush kadre bhater show ha,1
allahtaala ummat pe reham frmayaor ye lodhi jesey khabees logon k sharre sey naai nasal ko apni hifaazat meyn rakheyaameen,1
done thanks urdu safhas admin for such initiative,1
agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,1
hum sab ko milkar pakistan aur islami aqdaar ki hifazat karni hay musalmaan hony ka farz ada krein,1
sahil lodhi ka kya ma bap zimadar wo keu apni bchieo ko bhjty in ke ghart kidr hote,1
ni ye galat bat h is me sahir lodhi ka koe qasor ni h tv me achi baten b ati han wo to ap log catch ni krty,1
sahi baat ha,1
bilkul darosat,1
bilkul sahi,1
bilkul sahi kahaaap,1
bilkul sahi aese morning show ka bnd ho jana hi bhtr he,1
bilco yh zaror hona chahey,1
bilkul thehk,1
bilkul,1
beshak zaror krwana chaye,1
agreed with attaria qadria,1
sare comments bilkul sahi hn m sb ki taed krti hun aur sb k sath hun,1
taab too hum khud unn koo saport karay hootay hai,1
yar ajkl sakht pareshan hu rozgar ki fikr me bht acha lga parh k,1
har taraqi ke leye islam zrori ha,1
nhi pta allah or us k rasool saw ki etaat kro,1
beshak,1
khoob,1
boht aalaa,1
jis na kha ha ci kha ha,1
prime minster ki kursi chahye kitna yaqeen nazm o zabt or lagan chahye hogi,1
allah ki raza mandi ke bagir koi cheez hasil nahi ki jasakti chahe insan kitna hi yaqeen or nazmosabt ke saath hasil karne ki koshish karle,1
dil ko sukoon deney wali tehreer kash aesa wagat dobara aa jaey,1
jis ne likha he bohat behtareen likha wah wah,1
same thing k aik bunda chauti burai ko sahi samajh k kerta hay to wo bari burai ko asan samajh leta hay bacho ko roshnash karana apnay tahafuz k lye buri baat nahi,1
bilkul right,1
jis nay asbiat ki taraf dawat di us nay zulm ki taraf dawat di yehi asbiat to pehlay east pakistan ko kha gar ab baki ko kha rahi hai,1
ap hongi hum tou muhabbat bantnay walay hy we beleieve in equal rights,1
such kaha,1
lol is page waly ki dp dekh or bat kia karaha yeh,1
iss mein koi burai nahi,1
iss mein koi burai nahi hey,1
hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar aap rokne ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho ko kisi pe ujagar mat kariye yeh allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,1
aik hadees hey moman kabhi laan taan nahin karta,1
ye follow nh kr rha unki khushyon m shamil hua h bs,1
bilawal allah tumain salamat rakhey,1
namaz qaim kro kiun k namaz behayai sy rokti hai islam mein hukam k sath reasoning bhi hai bss aqal mand logo k liye he nishaniyan hai aur wohi samjhty hain inko,1
aur islaam mein soor ka goosht khana haram hai lehaza kiun k uss mein bht harmful steroids hty jo insaani jism ko sakht nuksaan pohnchaty aur islaam mein hr wo cheez mana hai jiska insaan ko nuqsaan hai,1
wah zbrdst,1
thek allah pak ka koi b hukam maslehat k baghair nai,1
australia me shawal ka chand nazar aa gaya kal eid hogi,1
pm nawazsharif ki nawasi mehar u nisa safdar aur raheel munir ka nikah masjid nabvi mein munaqid pm samait ahal e khana ki shirkat,1
sub se zaiyda mein jagah hazrat mosa a s ka zikar aya hain,1
tareef kiya huwa,1
har musalman mard aurat ghulam aazad chotay baray par namaz e eid se pehlay sadqa e fitr dena lazim hai,1
ap sb ki shirkat ka shukrya,1
mullah umar ne afghan hukomat amp taliban muzakrat ki himayat kar di afghanistan se qabzay k khatmay k liye muzakrat jaiz hen paigham,1
skin saf krny k liye honey milk or dahi mi kijye is miture ko mint k liye skin pr laga lijye bad mai saf pani sy dho lijye,1
samnay betha tha mere or wo mera na tha,1
allah ki naimaton main sy naimat hy or moqa mily or bach jana yeh,1
atc ne march ko giriftar honewale zulficar mirza k guard ko riha karne ka hukum dedia,1
apny bhai ki madad karo,1
islam musalmano k ilam ka naam nhe un k amal ka naam hy yani islam bolny wali baat nhe karny wala kaam hy,1
main aaj se hi bicha doon us raah pe palken,1
cheze halos e dil k sat karni chahey,1
raham karam dua,1
es ki bunyad kalma tayyaba par hain,1
se july tak karachi janay wali trainon k kirayon me kami khali trainen wapsi per senkron musafiron ko lati hen,1
subai hakumat ne chand raat per hawai firing karne per pabandi aid kr di,1
nishaniyan ka pani metha hojana na ziada sardi khula huwa shu a k tulu hona,1
ramzan k akhri ashray me mazeed barishon ka imkaan,1
eid ul fiter per bi barishon ka imkan,1
tabdeli yhi log laskengy,1
masjid qab a is the first mosque where mohammad saw openly led the regular prayer congregation of his companions,1
darood sharif parh kar muslim dosto ko send kro,1
bar parhny say gunah mitaty hain or nikya milti hain,1
doston ko bhe daawat den,1
islamabad k baldiyati intakhabat jamati buniyad per kraney ka bill senate me kasrat e rae se manzur,1
incharge officer slaughter house dr ghafoor mengal ki nigrani me govt slaughter house me bemar janwaron k gosht ko jalae gaye,1
jo shakhs allah k liye din aitikaf karta hy allah isko jahanum se zamin asman k barabar guna door kar deta hy,1
namaz e fajar hamari khobsoorti mein ezafa karti hain,1
namaz e zuhar hamari aamdani mein izafa karti hein,1
subai assembliyon ki sala karkardagi me khyber pakhtunkhwa assembly score k sath behtreen qarar survey,1
imran amp reham khan is saal hajj pr jaengy,1
bohat say log tujhy dekh kar hamaray huwe,1
such me wo log sirf kaha karte the,1
love from pakistan,1
kamyab tareen inqalab tha votes,1
last night in dono marches ko mila kar supporters ki total tadad tak banti hy eye witnesses,1
zero point k bad se bhi agy jayengy ka jawab,1
kia husan e ittefaq hy unki galli tak,1
hum kaam se gaye thy phir kaam se gaye,1
k apni maa k qadmo k nishan dhondh raha ho,1
lve u mm,1
per toot k chahna sirf baar hota hai,1
agar hai to janab yeh article ap k lie hi hai,1
basa hy kon tairy dil mein gull e badan ay dard,1
k boo gulaab ki aayi tairy paseeny mein,1
dar e mustafa s a w w meri sultanat ussi saltanat ka faqeer hon,1
to umrain beet jaen gi kaha na achay lagty ho to bus lagtay ho,1
ferdous ki lawn ap ki hoi,1
sapney mein sine se lagaya pyaar kia jee behlaya,1
ghussay mei such bolna aur taqat k hotay huay muaf karna afzal tareen naikiyon me se h,1
meri chahat,1
meri manzil,1
ek arsy bd us k sher lota to hran rhgia,1
